Date,Title,Description,Notes,1962ordo.today URL
"Wednesday, May 13, 2020",St. Robert Bellarmine,"Bishop, Confessor, and Doctor of the Church

III class  
White","Mass of the feast; Gloria, no Credo, preface of Easter",https://1962ordo.today/day/st-robert-bellarmine-2/
"Thursday, May 14, 2020",Thursday after IV Sunday after Easter,"IV class  
White

Commemoration of St. Boniface, Martyr","Mass of the preceding Sunday, Gloria, commemoration of the saint, no Credo,
preface of Easter

OR

Mass of St. Boniface (Red), Gloria, no Credo, preface of Easter",https://1962ordo.today/day/feria-ii-after-iii-sunday-easter-2-4/
"Friday, May 15, 2020",St. Jean Baptiste de la Salle,"Confessor

III class  
White","Mass of the feast; Gloria, no Credo, preface of Easter",https://1962ordo.today/day/st-jean-baptiste-de-la-salle-2-2/
"Saturday, May 16, 2020",St. Ubald,"Bishop and Confessor

III class  
White","Mass of the feast; Gloria, no Credo, preface of Easter",https://1962ordo.today/day/st-ubald-2-2/
"Sunday, May 17, 2020",V Sunday after Easter,"II class  
White","Mass of the Sunday, Gloria, Credo, preface of Easter",https://1962ordo.today/day/dominica-v-after-easter-2-2/
"Monday, May 18, 2020","St. Venantius, Rogations","Martyr

III class  
Red (all day) or Violet (at Rogation procession and Mass only)

The Minor Litanies—Rogations—are today. If the Rogation Mass is not
celebrated, it is not commemorated in the Mass of the day (except on April 25,
which regards the Greater Litanies), and the Rogations are not included
anywhere in the Office.","**The Minor Litanies** (excerpted from _Rubricae generales_ ):

82\. According to conditions and customs varying from one church to another
and from one place to another … a procession is held on this day, in which the
Litany of the Saints is said with its accompanying prayers. The petitions of
the litany are not doubled.

83\. If a procession cannot be held, … special supplications [may be said],
which shall include the Litany of the Saints and the other prayers customarily
said in procession.

86\. The rogation Mass is regularly to be said after the procession…. It is
fitting, however, that the rogation Mass be said even after the special
supplications which take the place of the procession, even if these services
are held in the evening. [It is a II class votive Mass, per RG 346.]

87\. The minor litanies or Rogation days, of themselves, are assigned to the
Monday, Tuesday and Wednesday before the feast of the Ascension of our Lord.

88\. Of the minor litanies there is nothing in the office, but only in the
Mass which is connected with the procession or with the other special
supplications.

90\. On these days the Litany of the Saints with its prayers is said only in
procession or as part of the other supplication…. Hence, those who are bound
to the recitation of the divine office but do not take part in the procession
or in the other special supplications do not have to say the Litany of the
Saints with its prayers on these days.",https://1962ordo.today/day/st-bede-rogations-2-2/
"Tuesday, May 19, 2020","St. Peter Celestine, Rogations","Pope and Confessor

III class  
White (all day) or Violet (at Rogation procession and Mass only)

Commemoration of St. Pudentiana, Virgin

The Minor Litanies—Rogations—are today. If the Rogation Mass is not
celebrated, it is not commemorated in the Mass of the day (except on April 25,
which regards the Greater Litanies), and the Rogations are not included
anywhere in the Office.","**The Minor Litanies** (excerpted from _Rubricae generales_ ):

82\. According to conditions and customs varying from one church to another
and from one place to another … a procession is held on this day, in which the
Litany of the Saints is said with its accompanying prayers. The petitions of
the litany are not doubled.

83\. If a procession cannot be held, … special supplications [may be said],
which shall include the Litany of the Saints and the other prayers customarily
said in procession.

86\. The rogation Mass is regularly to be said after the procession…. It is
fitting, however, that the rogation Mass be said even after the special
supplications which take the place of the procession, even if these services
are held in the evening. [It is a II class votive Mass, per RG 346.]

87\. The minor litanies or Rogation days, of themselves, are assigned to the
Monday, Tuesday and Wednesday before the feast of the Ascension of our Lord.

88\. Of the minor litanies there is nothing in the office, but only in the
Mass which is connected with the procession or with the other special
supplications.

90\. On these days the Litany of the Saints with its prayers is said only in
procession or as part of the other supplication…. Hence, those who are bound
to the recitation of the divine office but do not take part in the procession
or in the other special supplications do not have to say the Litany of the
Saints with its prayers on these days.",https://1962ordo.today/day/st-augustine-rogations-2-2-2/
"Wednesday, May 20, 2020","Vigil of the Ascension, Rogations","II class  
White (all day) and Violet (in Rogations procession and Mass only)

Commemoration of St. Bernardine of Siena, Confessor

The Minor Litanies—Rogations—are today. If the Rogation Mass is not
celebrated, it is not commemorated in the Mass of the day (except on April 25,
which regards the Greater Litanies), and the Rogations are not included
anywhere in the Office.","**The Minor Litanies** (excerpted from _Rubricae generales_ ):

82\. According to conditions and customs varying from one church to another
and from one place to another … a procession is held on this day, in which the
Litany of the Saints is said with its accompanying prayers. The petitions of
the litany are not doubled.

83\. If a procession cannot be held, … special supplications [may be said],
which shall include the Litany of the Saints and the other prayers customarily
said in procession.

86\. The Rogation Mass is regularly to be said after the procession…. It is
fitting, however, that the Rogation Mass be said even after the special
supplications which take the place of the procession, even if these services
are held in the evening. [It is a II class votive Mass, per RG 346.]

87\. The minor litanies or Rogation days, of themselves, are assigned to the
Monday, Tuesday and Wednesday before the feast of the Ascension of our Lord.

88\. Of the minor litanies there is nothing in the office, but only in the
Mass which is connected with the procession or with the other special
supplications.

90\. On these days the Litany of the Saints with its prayers is said only in
procession or as part of the other supplication…. Hence, those who are bound
to the recitation of the divine office but do not take part in the procession
or in the other special supplications do not have to say the Litany of the
Saints with its prayers on these days.",https://1962ordo.today/day/vigil-of-ascension-2-2/
"Thursday, May 21, 2020",Ascension of Our Lord,"I class  
White",Funerals are not permitted,https://1962ordo.today/day/ascension-2-2/
"Friday, May 22, 2020",Friday after V Sunday after Easter,"IV class

White","Mass of the preceding Sunday, Gloria, no Credo, preface of Easter",https://1962ordo.today/day/feria-vi-after-iv-sunday-easter-2-2-2-2/
"Saturday, May 23, 2020",Saturday after V Sunday after Easter,"IV class

White","Mass of the preceding Sunday, Gloria, no Credo, preface of Easter",https://1962ordo.today/day/feria-v-after-iv-sunday-easter-2-2-2-2/
"Sunday, May 24, 2020",Sunday after the Ascension,"II class  
White","Mass of the Sunday, Gloria, Credo, preface of Ascension",https://1962ordo.today/day/dominica-post-ascensionem-2-2/
"Monday, May 25, 2020",St. Gregory VII,"Pope and Confessor

III class  
White

Commemoration of St. Urban I, Pope and Martyr","Mass of the feast, commemoration added, Gloria, no Credo, preface of Easter",https://1962ordo.today/day/st-gregory-vii-2/
"Tuesday, May 26, 2020",St. Philip Neri,"Pope and Confessor

III class  
White

Commemoration of St. Eleutherius, Pope and Martyr","Mass of the feast, commemoration added, Gloria, no Credo, preface of Easter",https://1962ordo.today/day/st-gregory-vii-2-2/
"Wednesday, May 27, 2020",St. Bede the Venerable,"Confessor and Doctor of the Church

III class  
White

Commemoration of St. John I, Pope and Martyr","Mass of St. Bede (White), Gloria, commemoration of St. John, no Credo, preface
of Easter",https://1962ordo.today/day/st-bede-rogations-2-3/
"Thursday, May 28, 2020",St. Augustine of Canterbury,"Bishop and Confessor

III class  
White","Mass of the saint (White), Gloria, no Credo, preface of Easter",https://1962ordo.today/day/st-augustine-rogations-2-2-3/
"Friday, May 29, 2020",St. Mary Magdalen de Pazzi,"Virgin

III class  
White","Mass of the feast, Gloria, no Credo, preface of Easter",https://1962ordo.today/day/st-mary-magdalen-de-pazzi-2/
"Saturday, May 30, 2020",Vigil of Pentecost,"I class  
White and Red","The color is White for the Offices up to and excluding the Mass. The color is
Red for the Mass and subsequent Offices.

Traditional day of fast and partial abstinence in the USA.",https://1962ordo.today/day/vigil-of-pentecost-2-2/
"Sunday, May 31, 2020",Pentecost,"I class, with a I class octave  
Red

No commemoration of BVM, Queen","Funerals are not permitted.

The blessing of meals during the Octave, until lunch of Saturday, is:  
_V. Spiritus Domini replevit orbem terrarum, Alleluia + ._  
_R. Et hoc quod continet omnia, scientiam habet vocis, Alleluia._  
_(Cf._ reliqua in Benedictio mensae in the Ritual or in the appendix of the
Breviary).",https://1962ordo.today/day/dominica-pentecostes-2-2/
"Monday, June 1, 2020",Monday in the Octave of Pentecost,"I class  
Red","The blessing of meals during the Octave, until lunch of Saturday, is:  
_V. Spiritus Domini replevit orbem terrarum, Alleluia + ._  
_R. Et hoc quod continet omnia, scientiam habet vocis, Alleluia._  
_(Cf._ reliqua in Benedictio mensae in the Ritual or in the appendix of the
Breviary).",https://1962ordo.today/day/feria-ii-in-octave-of-pentecost-2-2/
"Tuesday, June 2, 2020",Tuesday in the Octave of Pentecost,"I class  
Red","The blessing of meals during the Octave, until lunch of Saturday, is:  
_V. Spiritus Domini replevit orbem terrarum, Alleluia + ._  
_R. Et hoc quod continet omnia, scientiam habet vocis, Alleluia._  
_(Cf._ reliqua in Benedictio mensae in the Ritual or in the appendix of the
Breviary).",https://1962ordo.today/day/feria-iii-in-octave-of-pentecost-2-2/
"Wednesday, June 3, 2020",Ember Wednesday in the Octave of Pentecost,"I class  
Red

Traditional day of fast and partial abstinence in USA","The blessing of meals during the Octave, until lunch of Saturday, is:  
_V. Spiritus Domini replevit orbem terrarum, Alleluia + ._  
_R. Et hoc quod continet omnia, scientiam habet vocis, Alleluia._  
_(Cf._ reliqua in Benedictio mensae in the Ritual or in the appendix of the
Breviary).",https://1962ordo.today/day/ember-wed-in-octave-of-pentecost-2-2/
"Thursday, June 4, 2020",Thursday in the Octave of Pentecost,"I class  
Red

 _ **First Thursday** (votive Mass not permitted)_","The blessing of meals during the Octave, until lunch of Saturday, is:  
_V. Spiritus Domini replevit orbem terrarum, Alleluia + ._  
_R. Et hoc quod continet omnia, scientiam habet vocis, Alleluia._  
_(Cf._ reliqua in Benedictio mensae in the Ritual or in the appendix of the
Breviary).",https://1962ordo.today/day/feria-v-in-octave-of-pentecost-2-2/
"Friday, June 5, 2020",Ember Friday in the Octave of Pentecost,"I class  
Red

Traditional day of fast and abstinence

 _ **First Friday** (votive Mass not permitted)_","The blessing of meals during the Octave, until lunch of Saturday, is:  
_V. Spiritus Domini replevit orbem terrarum, Alleluia + ._  
_R. Et hoc quod continet omnia, scientiam habet vocis, Alleluia._  
_(Cf._ reliqua in Benedictio mensae in the Ritual or in the appendix of the
Breviary).",https://1962ordo.today/day/ember-friday-octave-pentecost-2-2/
"Saturday, June 6, 2020",Ember Saturday in the Octave of Pentecost,"I class  
Red

Traditional day of fast and partial abstinence in USA

 _ **First Saturday** (votive Mass not permitted)_","Paschaltide ends after None _._

The _Angelus_ is resumed in the evening ( _Regina caeli_ in the morning and at
noon).

Change to the second volume of the Breviary starting with Vespers.

The blessing of meals during the Octave, through lunch today, is:  
_V. Spiritus Domini replevit orbem terrarum, Alleluia + ._  
_R. Et hoc quod continet omnia, scientiam habet vocis, Alleluia._  
_(Cf._ reliqua in Benedictio mensae in the Ritual or in the appendix of the
Breviary).",https://1962ordo.today/day/ember-sat-octave-pentecost-2-2/
"Sunday, June 7, 2020",Trinity Sunday,"I class  
White","Feast of the Most Holy Trinity. I Sunday after Pentecost is not commemorated.

Funerals are not permitted.",https://1962ordo.today/day/trinity-sunday-2-2/
"Monday, June 8, 2020",Monday after I Sunday of Pentecost,"IV class  
Green","Mass of preceding Sunday (Green), no Gloria, no Credo, common preface",https://1962ordo.today/day/feria-v-after-dominica-ii-pentecost-3/
"Tuesday, June 9, 2020",Tuesday after I Sunday of Pentecost,"IV class  
Green

Commemoration of Sts. Primus and Felician, Martyrs","Mass of preceding Sunday (Green), no Gloria, commemoration added, no Credo,
common preface",https://1962ordo.today/day/feria-v-after-dominica-ii-pentecost-3-2/
"Wednesday, June 10, 2020",St. Margaret,"Queen, Widow

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/sts-cosmas-and-damian-2-2-13/
"Thursday, June 11, 2020",Corpus Christi,"I class  
White","The Corpus Christi procession may be held today, and/or on the External
Solemnity next Sunday. The Blessed Sacrament is processed under a canopy.
Additional altars of repose may be used along the procession route, with
Benediction given there. (In hot regions the altars of repose are often
deferred until the procession of Christ the King in October.) The final
Benediction is given upon return to the church. The procession route should be
decorated if possible; frequently carpets are fashioned out of flower petals
or colored sawdust arranged in devotional designs. If the procession cannot be
held outdoors, it may be held around the interior perimeter of the church.

During the seven days following the feast, where the Procession is held, two
Masses of the Most Holy Eucharist (taken from the weekday votive Masses) may
be celebrated as II class votive Masses.

Funerals are not permitted today.",https://1962ordo.today/day/corpus-christi-2-2/
"Friday, June 12, 2020",St. John of San Facundo,"Confessor

III class  
White

Commemoration of St. Basilidus, Cyrinus, Nabor, and Nazarius, Martyrs","Mass of the feast, Gloria, commemoration of the martyrs, no Credo, common
preface",https://1962ordo.today/day/st-john-of-san-facundo-2/
"Saturday, June 13, 2020",St. Anthony of Padua,"Confessor, Doctor of the Church

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/st-anthony-of-padua-2/
"Sunday, June 14, 2020","II Sunday after Pentecost, External Solemnity Corpus Christi","II class  
Green

External Solemnity of Corpus Christi may be held in USA","The Corpus Christi procession may be held today with the External Solemnity.
The Blessed Sacrament is processed under a canopy. Additional altars of repose
may be used along the procession route, with Benediction given there. (In hot
regions the altars of repose are often deferred until the procession of Christ
the King in October.) The final Benediction is given upon return to the
church. The procession route should be decorated if possible; frequently
carpets are fashioned out of flower petals or colored sawdust arranged in
devotional designs. If the procession cannot be held outdoors, it may be held
around the interior perimeter of the church.",https://1962ordo.today/day/dominica-ii-pentecost-3/
"Monday, June 15, 2020",Monday after II Sunday of Pentecost,"IV class  
Green

Commemoration of St. Vitus, Modestius, and Crescentia, Martyrs","Mass of preceding Sunday (Green), no Gloria, commemoration added, no Credo,
common preface",https://1962ordo.today/day/feria-v-after-dominica-ii-pentecost-4/
"Tuesday, June 16, 2020",Tuesday after II Sunday of Pentecost,"IV class  
Green","Mass of preceding Sunday (Green), no Gloria, no Credo, common preface",https://1962ordo.today/day/feria-v-after-dominica-ii-pentecost-4-2/
"Wednesday, June 17, 2020",St. Gregory Barbarigo,"Bishop and Confessor

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/st-gregory-barbarigo-2/
"Thursday, June 18, 2020",St. Ephrem the Syrian,"Deacon, Confessor, Doctor of the Church

III class  
White

Commemoration of Sts. Marcus and Marcellianus, Martyrs","Mass of the feast, Gloria, commemoration of the martyrs, no Credo, common
preface",https://1962ordo.today/day/st-ephrem-3/
"Friday, June 19, 2020",Sacred Heart of Jesus,"I class  
White","On the Feast, it is obligatory to have the Act of Reparation to the Sacred
Heart recited before the Blessed Sacrament exposed, the Act being that of Pope
Pius XI (1928): _O sweet Jesus, Whose overflowing charity for men is requited
by so much forgetfulness, negligence, and contempt, etc._ This may be done
instead on the following Sunday if needed, or repeated then. The Litany of the
Sacred Heart is recited or sung also on that occasion. If the Blessed
Sacrament is exposed in conjunction with the Mass, it is exposed after the
completion of the Mass, not after Communion.

Funerals are not permitted.",https://1962ordo.today/day/sacred-heart-of-jesus-3/
"Saturday, June 20, 2020",B. V. M. on Saturday,"IV class  
White

St. Silverius, Pope and Martyr","Mass of the B.V.M. on Saturday V: _**Salve sancta parens**_ (White), Gloria,
commemoration added, no Credo, preface of the B.V.M. with _Et te in
veneratione_",https://1962ordo.today/day/bvm-on-saturday-2-5/
"Sunday, June 21, 2020","III Sunday after Pentecost, External Solemnity Sacred Heart","II class  
Green

External Solemnity of the Sacred Heart

 _Father’s Day in the USA_","The External Solemnity of the Feast of the Sacred Heart belongs by right to
this day (RG 358a). As on the Feast, it is customary to have Benediction with
the Act of Reparation to the Sacred Heart recited before the Blessed Sacrament
exposed, the Act being that of Pope Pius XI (1928): _O sweet Jesus, Whose
overflowing charity for men is requited by so much forgetfulness, negligence,
and contempt, etc._ The Litany of the Sacred Heart is fitting recited or sung
also. If the Blessed Sacrament is exposed in conjunction with the Mass, it is
exposed after the completion of the Mass, not after Communion.",https://1962ordo.today/day/dominica-iii-pentecost-3/
"Monday, June 22, 2020",St. Paulinus,"Bishop and Confessor

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/st-paulinus-2-2/
"Tuesday, June 23, 2020",Vigil of the Nativity of St. John the Baptist,"II class  
Violet","This evening bonfires are traditionally made, which receive a special blessing
as given in the Rituale _(De Benedictionibus, no. 10: Benedictio Rogi quae fit
a clero extra ecclesiam in Vigilia Nativitatis S. Joannis Baptistae):_

V. Adiutorium nostrum in nomine Domini. R. Qui fecit caelum et terram.  
V. Dominus vobiscum. R. Et cum spiritu tuo.

Oremus. Domine Deus, Pater omnipotens, lumen indeficiens, qui es conditor
omnium luminum: novum hunc ignem sancti + fica, et praesta; ut ad te, qui es
lumen indeficiens, puris mentibus post hujus saeculi caliginem pervenire
valeamus. Per Christum Dominum nostrum.

Et aspergatur aqua benedicta. Deinde a Clero cantetur Hymnus _Ut queant laxis_
e I Vesperis, et sequuntur versus et oratio earundem Vesperis.",https://1962ordo.today/day/vigil-of-st-john-the-baptist-2/
"Wednesday, June 24, 2020",Nativity of St. John the Baptist,"I class  
White","Mass of the Feast of the Nativity of St. John the Baptist; Gloria; Credo;
common preface",https://1962ordo.today/day/nativity-st-john-the-baptist-2-2/
"Thursday, June 25, 2020",St. William,"Abbot

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/st-william-2-2/
"Friday, June 26, 2020",Sts. John and Paul,"Martyrs

III class  
Red","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/sts-john-and-paul-2-2/
"Saturday, June 27, 2020",B. V. M. on Saturday,"IV class  
White","Mass of the B.V.M. on Saturday V: _**Salve sancta parens**_ (White), Gloria,
no Credo, preface of the B.V.M. with _Et te in veneratione_",https://1962ordo.today/day/bvm-on-saturday-2-6/
"Sunday, June 28, 2020",IV Sunday after Pentecost,"II class  
Green",No commemoration of the Vigil of Sts. Peter and Paul,https://1962ordo.today/day/dominica-iv-pentecost-3/
"Monday, June 29, 2020",Saints Peter and Paul,"Apostles

I class  
Red","There is no commemoration of St. Peter or St. Paul under one conclusion today
since the feast is of both Apostles together; both are named in the collect.",https://1962ordo.today/day/saints-peter-and-paul-2-2/
